FoodsConsumedTogether,Frequency
"Rice, Sambar, Papad, Curd",1850
"Roti, Palak Paneer, Dal",1670
"Idli, Tomato Chutney, Sambar",1420
"Dosa, Potato Masala, Coconut Chutney",1380
"Paratha, Aloo Sabzi, Curd",1280
"Biryani, Boondi Raita, Salad",1150
"Poha, Sev, Tea",980
"Upma, Tomato Chutney",920
"Khichdi, Kadhi, Papad",870
"Pav Bhaji, Masala Papad",810
"Rajma, Jeera Rice, Salad",790
"Chole, Bhature, Pickle",760
"Aloo Paratha, Curd, Pickle",730
"Uttapam, Sambar, Coconut Chutney",680
"Pulao, Boondi Raita",640
"Dhokla, Green Chutney, Tea",610
"Vada, Sambar, Coconut Chutney",590
"Pongal, Medu Vada, Coconut Chutney",550
"Missal Pav, Buttermilk, Papad",520
"Thali (Roti, Rice, 2 Sabzis, Dal, Salad)",1800
"Samosa, Tamarind Chutney, Tea",950
"Pakora, Mint Chutney, Tea",890
"Kheer, Puri, Dry Fruits",830
"Masala Dosa, Coconut Chutney, Sambar",770
"Paneer Tikka, Mint Sauce, Salad",710
"Rasam Rice, Papad, Curd",670
"Aloo Sabzi, Puri, Pickle",630
"Ragi Mudde, Sambar, Curd",580
"Appam, Vegetable Stew, Coconut Chutney",540
"Makki Roti, Sarson Saag, Curd",510
"Bisi Bele Bath, Curd, Papad",490
"Pongal, Medu Vada, Coconut Chutney",460
"Thepla, Chunda, Tea",430
"Pesarattu, Ginger Chutney, Sambar",400
"Kadhi Pakora, Rice, Papad",380
"Dal Makhani, Naan, Salad",350
"Aloo Gobi, Roti, Curd",320
"Chana Masala, Bhature, Pickle",300
"Quinoa, Stir-Fried Vegetables, Curd",450
"Bajra Roti, Lasun Chutney, Sabzi",420
"Amaranth Seed Porridge, Jaggery, Milk",390
"Bengal Gram Dal, Rice, Pickle",370
"Black Gram Dal, Rice, Papad",360
"Green Gram Dal, Rice, Salad",340
"Lentil Dal, Rice, Ghee",330
"Soya Bean Curry, Rice, Salad",310
"Foxtail Millet Khichdi, Curd",290
"Barley Porridge, Milk, Nuts",280
"Jowar Roti, Sabzi, Curd",270
"Maize Roti, Dal, Pickle",260
"Rice Flakes Upma, Coconut Chutney",250
"Rice Puffed Snack, Tea",240
"Brown Rice, Dal, Sabzi",230
"Parboiled Rice, Sambar, Papad",220
"Samai Porridge, Jaggery, Milk",210
"Varagu Rice, Sambar, Curd",200
"Wheat Flour Roti, Sabzi, Dal",190
"Wheat Atta Roti, Sabzi, Curd",180
"Whole Wheat Roti, Sabzi, Pickle",170
"Wheat Semolina Upma, Coconut Chutney",160
"Wheat Vermicelli Kheer, Nuts",150
"Wheat Vermicelli Roasted, Tea",140
"Foxtail Millet Porridge, Milk",130
"Proso Millet Khichdi, Curd",120
"Rice Bran Porridge, Jaggery",110
"Barnyard Millet Khichdi, Curd",100
"Wheat Germ Porridge, Milk",90
"Bamboo Seed Porridge, Jaggery",80
"Banti Porridge, Milk",70
"Buckwheat Pancakes, Honey",60
"Chenopodium Seed Porridge, Milk",50
"Cowage Seed Flour Porridge, Jaggery",40
"Daincha Seed Porridge, Milk",30
"Job's Tears Porridge, Jaggery",20
"Oatmeal Porridge, Milk, Nuts",10
"Kittul Flour Porridge, Jaggery",5
"Lotus Seed Porridge, Milk",15
"Makhana Snack, Tea",25
"Rajkeera Seed Porridge, Jaggery",35
